NaPTAN Code,Count
dloajmtj,2
merdpdad,2
merajptj,2
merdjdtg,2
merdjamp,2
merdmdma,2
meradmwt,2
merapdmp,2
75326,2
55976,2
91335,2
54202,2
76362,2
91261,2
77257,2
76090,2
92131,2
56913,2
57524,2
91333,2
91380,2
95566,2
77911,2
76496,2
74428,2
72814,2
92376,2
92382,2
58451,2
71851,2
49118,2
95175,2
92280,2
95346,2
73217,2
95348,2
56554,2
98230,2
49159,2
50910,2
75714,2
73937,2
53105,2
92357,2
50974,2
74767,2
48092,2
95471,2
95472,2
51564,2
74306,2
95550,2
95564,2
95558,2
95535,2
95539,2
91346,2
95598,2
71329,2
75560,2
52378,2
50738,2
54046,2
76549,2
50857,2
95145,2
72159,2
48813,2
92196,2
98140,2
53148,2
49788,2
53823,2
54065,2
54772,2
50723,2
50202,2
72354,2
95150,2
52322,2
77404,2
71913,2
92347,2
56401,2
52864,2
57238,2
52463,2
54874,2
55888,2
48715,2
49902,2
75579,2
75432,2
76022,2
71380,2
59398,2
53520,2
72324,2
50476,2
77647,2
52380,2
54117,2
74020,2
47287,2
71906,2
76274,2
77880,2
72644,2
91352,2
91368,2
71594,2
57525,2
50962,2
75377,2
92627,2
cdiptad,2
cdidwgw,2
cdiaptg,2
cdimwjg,2
cdimajt,2
36290142,2
36290145,2
36290146,2
36290147,2
